Handle,Title,Category,Option1 Value,Option2 Value,product number,Variant Inventory Qty,Product price
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 13,Bumper Case (MagSafe),KD51703,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 13 Pro,Jelly Case,KD51704,0,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 13 Pro,Bumper Case,KD51705,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 13 Pro,Bumper Case (MagSafe),KD51706,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 13 Pro Max,Jelly Case,KD51707,0,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 13 Pro Max,Bumper Case,KD51708,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 13 Pro Max,Bumper Case (MagSafe),KD51709,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 12,Jelly Case,KD51710,0,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 12,Bumper Case,KD51711,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 12,Bumper Case (MagSafe),KD51712,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 12 Pro,Jelly Case,KD51713,0,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 12 Pro,Bumper Case,KD51714,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 12 Pro,Bumper Case (MagSafe),KD51715,200,19.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 12 Pro Max,Jelly Case,KD51716,0,11.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 12 Pro Max,Bumper Case,KD51717,200,16.99
blue-floral-aesthetic-clear-phone-case,Blue Floral Aesthetic Clear Phone Case,Floral,iPhone 12 Pro Max,Bumper Case (MagSafe),KD51718,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17,Jelly Case,KD51588,200,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17,Bumper Case,KD51589,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17,Bumper Case (MagSafe),KD51590,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17 Air,Jelly Case,KD51591,0,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17 Air,Bumper Case,KD51592,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17 Air,Bumper Case (MagSafe),KD51593,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17 Pro,Jelly Case,KD51594,0,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17 Pro,Bumper Case,KD51595,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17 Pro,Bumper Case (MagSafe),KD51596,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17 Pro Max,Jelly Case,KD51597,0,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17 Pro Max,Bumper Case,KD51598,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 17 Pro Max,Bumper Case (MagSafe),KD51599,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16,Jelly Case,KD51600,200,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16,Bumper Case,KD51601,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16,Bumper Case (MagSafe),KD51602,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16 Pro,Jelly Case,KD51603,200,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16 Pro,Bumper Case,KD51604,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16 Pro,Bumper Case (MagSafe),KD51605,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16 Plus,Jelly Case,KD51606,200,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16 Plus,Bumper Case,KD51607,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16 Plus,Bumper Case (MagSafe),KD51608,199,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16 Pro Max,Jelly Case,KD51609,200,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16 Pro Max,Bumper Case,KD51610,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 16 Pro Max,Bumper Case (MagSafe),KD51611,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15,Jelly Case,KD51612,199,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15,Bumper Case,KD51613,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15,Bumper Case (MagSafe),KD51614,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15 Pro,Jelly Case,KD51615,200,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15 Pro,Bumper Case,KD51616,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15 Pro,Bumper Case (MagSafe),KD51617,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15 Plus,Jelly Case,KD51618,200,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15 Plus,Bumper Case,KD51619,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15 Plus,Bumper Case (MagSafe),KD51620,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15 Pro Max,Jelly Case,KD51621,200,11.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15 Pro Max,Bumper Case,KD51622,200,16.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 15 Pro Max,Bumper Case (MagSafe),KD51623,200,19.99
vintage-pressed-wildflower-clear-phone-case,Vintage Pressed Wildflower Clear Phone Case,Floral,iPhone 14,Jelly Case,KD51624,200,11.99
